batch_id,production_date,plant,shift,temperature_avg_c,pressure_avg_bar,vibration_index,cycle_time_sec,defect_rate_pct,energy_kwh,material_loss_pct,coating_thickness_mm,output_units_per_hr,efficiency_score
B0029,2024-10-10,Plant_C,Evening,215.4400616951706,4.597356609076003,1.762955816830818,62.94,6.5,184.39,3.2,2.1039907259663733,164.34110350632216,9050.8
B0030,2025-02-22,Plant_C,Day,192.0636552896385,3.89527259638545,0.8993290175089134,45.1,2.0,127.92,1.2,1.814346998337162,291.3508847589295,9682.4
B0031,2023-08-19,Plant_A,Evening,195.42910398062065,3.943466304008622,0.9935055137415488,51.05,2.7,141.2,1.5,1.981109889640749,260.0096462024088,9584.05
B0032,,Plant_B,Evening,181.8026879285448,3.420400927549621,0.6828757028137059,44.54,1.6,124.71,0.5,1.7887432083221415,246.2867803649208,9790.800000000001
B0033,2024-04-17,Plant_B,Day,198.47510691057371,3.901815389750409,0.9192322224601228,50.4,2.4,147.58,1.8,2.0433435706797223,245.1483231569476,9584.32
B0034,2023-05-20,Plant_B,Day,194.3908876848064,4.821595113352236,1.30699066052638,55.25,4.5,165.26,0.7,2.0115636700969777,232.66483488063304,9483.15
B0035,,Plant_A,Day,179.46109499670084,3.4877648784400868,0.8737728579891164,36.37,2.2,136.77,0.2,1.6787317969408382,344.8745917488894,9760.439999999999
B0036,2023-08-23,Plant_C,Night,215.0462940148392,3.909507667872594,1.3438002792094634,55.4,3.6,162.95,1.4,2.207549481313308,198.2273197878452,9505.04
B0037,2024-02-09,Plant_B,Evening,212.7214555379877,4.511156299275221,1.8895121892172448,56.09,5.0,176.24,2.9,2.826501695879254,200.9208589891761,9224.5
B0038,,Plant_B,Night,201.2818010077986,4.885716126912459,1.3185328389056366,61.41,5.1,160.49,2.0,2.1711101678078606,173.5115387284012,9300.2
B0039,2023-11-09,Plant_B,Day,174.6371369992886,3.7664523899137152,0.7945401530532206,46.58,4.2,112.93,1.1,2.1682732890294605,234.9708784544308,9474.62
B0040,2023-12-21,Plant_A,Day,196.1466632001124,3.529651285951789,1.1605973440103758,51.72,4.8,137.2,1.3,2.0238027735627284,170.5497331006901,9396.24
B0041,2023-05-15,Plant_C,Day,204.76827170590585,4.488098211254937,1.3514743616535436,55.64,2.8,170.56,2.1,2.1189986705844936,253.01470093130317,9515.880000000001
B0042,,Plant_B,Night,229.69477521478453,4.969771189343199,2.0923894338827838,57.51,3.9,173.98,4.1,2.4209058184100845,208.87989261168372,9215.99
B0043,2023-10-27,Plant_A,Day,182.70234876283996,4.081856438127255,1.3185328389056366,41.73,2.8,133.4,1.3,1.9367176553282348,236.8172203795596,9593.640000000001
B0044,,Plant_B,Day,191.2794130449665,5.2426239487309765,1.4782144607901049,53.19,3.6,158.08,2.4,1.9161379942145895,218.08137483810276,9408.64
B0045,2024-10-09,Plant_C,Evening,224.3946831761965,4.5422674051914855,1.7819827344762822,61.89,5.0,174.64,2.7,2.615363012184926,172.92386397344853,9243.5
B0046,2023-05-18,Plant_B,Evening,188.8902955127784,3.692433873335455,1.121646514648822,46.53,1.2,133.16,2.1,2.2365936210259063,294.3962318873656,9672.52
B0047,,Plant_A,Day,193.49022049270783,3.7926517312568806,0.9604872973395916,56.65,3.0,145.36,3.2,2.364150314873678,197.3724219257264,9389.6
B0048,2023-06-27,Plant_B,Day,189.5872879602772,3.1699394540029404,1.3185328389056366,40.26,3.7,108.04,1.8,2.011414045777073,293.36254584047447,9456.66
B0049,,Plant_B,Night,184.43078623251373,3.7349249999101497,1.1913571066677957,47.97,0.8,127.81,1.3,1.6087665509847229,256.0647564571041,9791.04
B0050,,Plant_C,Night,222.26944758499803,5.037068005891702,1.4683121209904404,58.46,5.7,159.15,3.1,2.567023980156266,149.0838915790931,9137.67
B0051,,Plant_B,Evening,187.789605563752,3.562418876853969,0.6183403875659671,35.84,0.3,138.46,0.6,1.7030251922465354,330.8011199661396,9910.18
B0052,2024-11-06,Plant_A,Evening,200.39797183032252,5.225483854256711,1.7504621378039664,60.28,5.8,180.65,2.5,2.613705153394383,171.47036753022954,9184.5
B0053,2024-10-20,Plant_C,Night,212.98209588874175,4.669496091218887,1.659456297976177,59.21,2.1,153.98,3.0,2.0351596369751976,173.02564070974609,9496.300000000001
B0054,2024-02-17,Plant_B,Day,211.40343222330108,4.959204331554764,1.6800677180901349,61.92,7.0,157.16,3.2,2.3584250420808317,115.8711970385694,9002.4
B0055,,Plant_C,Day,213.77789160811236,4.954941577886807,1.3957680493050526,47.38,4.5,154.91,2.4,1.988883434797189,243.8190999399253,9320.8
B0056,2024-03-28,Plant_C,Day,227.109813949252,4.308535267741007,1.8187290933423708,60.0,5.6,175.99,3.0,2.3409366601136146,197.73719836757104,9156.800000000001
B0057,2024-08-17,Plant_A,Evening,192.76194686254888,4.343402941892551,1.2058101685589635,52.4,3.1,128.34,0.8,1.9921258060615996,266.6929301720194,9612.480000000001
B0058,2023-09-29,Plant_B,Day,198.31277638090893,3.2481499707323795,0.7836656203508544,42.13,1.2,118.43,1.8,1.8382472487097432,303.665822601802,9702.16
B0059,2024-04-17,Plant_B,Day,195.19099439679053,4.154847519821321,1.2688258608518277,50.45,2.5,142.3,1.2,1.8344514184560508,220.4015693737144,9633.0
B0060,2024-04-05,Plant_C,Evening,195.2874905204741,4.49748351363582,1.4695605923575372,47.38,2.7,139.03,0.8,1.913274105896032,318.9288741861176,9652.16
B0060,2024-04-05,Plant_C,Evening,195.2874905204741,4.49748351363582,1.4695605923575372,47.38,2.7,139.03,0.8,1.913274105896032,318.9288741861176,9652.16
B0061,2024-07-17,Plant_B,Evening,199.4947506028157,4.729619452449469,1.371804796241966,50.07,1.4,152.67,2.0,2.0902022855512814,276.4881577115308,9662.8
B0062,2024-05-15,Plant_A,Day,205.01636353683745,3.9719951229836505,1.1564943965678574,54.45,1.9,162.53,2.9,2.186582818159558,238.53587713291887,9525.509999999998
B0063,2023-08-20,Plant_A,Night,183.22007336842043,4.067259941493907,1.0026295086664576,48.21,1.7,145.3,1.4,1.9446923463307255,287.0112979949971,9692.38
B0064,2023-11-01,Plant_A,Night,199.53646473059905,3.652016113964309,0.9767885527294532,53.5,1.5,127.95,0.8,1.8078131695838875,278.5656919814928,9771.2
B0065,2025-02-14,Plant_A,Day,188.8060327817008,3.1064207448622945,0.4084829909981359,38.69,2.8,136.87,0.0,1.4774684368542068,317.5458669523413,9720.0
B0066,2024-05-13,Plant_A,Day,198.6007433507835,3.733728506943844,1.1215211659676694,47.62,3.6,134.64,0.4,2.2275657249072505,289.3922461632909,9601.44
B0067,,Plant_A,Night,187.07439706156893,4.449923730464393,0.9870749222363931,51.27,3.2,136.4,0.4,2.086646868855707,217.0882405534492,9641.279999999999
B0068,2024-09-01,Plant_C,Day,205.75364647226783,4.456069248726934,1.522511031533862,46.1,4.4,171.2,2.3,2.102112995692213,250.10141150890013,9340.119999999999
B0069,2023-04-14,Plant_A,Evening,212.1283778478654,4.285426924340544,2.181355177352573,66.41,5.5,192.85,2.9,2.6283080022598395,116.89852914055012,9175.949999999999
B0070,2023-11-14,Plant_B,Night,185.2401075005076,4.012218140299956,0.7133677985476611,41.5,1.7,121.94,0.9,1.945940715360656,322.4486057839113,9741.529999999999
B0071,2023-05-11,Plant_A,Evening,206.16801959186904,4.611287262586611,1.4658048088076867,59.21,4.5,139.31,2.9,1.99203337525107,195.3722671346001,9273.05
B0072,,Plant_A,Night,218.0534501346842,4.807028111039565,1.762286486189507,69.25,5.6,168.19,4.3,2.493690676439536,125.7913282383293,9034.08
B0073,,Plant_C,Day,212.0879365450027,5.177915828914177,1.193641980236417,59.76,5.2,162.31,2.4,1.8978200356528845,183.54963829568536,9252.48
B0074,,Plant_C,Night,198.25705121583704,4.055797097505264,1.0515222328745566,58.0,2.0,116.86,0.2,2.094718216230014,209.37090899244396,9780.4
B0075,2023-11-20,Plant_C,Day,188.03116821887352,3.696337105658559,1.0745969068390528,45.0,1.7,137.34,1.1,2.0552259747000843,211.73160347087085,9721.87
B0076,2023-09-06,Plant_B,Evening,219.25493699848053,4.50418094042656,1.8560503204697645,57.22,5.1,186.19,2.9,2.532180599788376,174.8496139967218,9214.79
B0077,2024-01-02,Plant_B,Evening,213.09524210975772,4.741190516509405,1.8301105723620537,60.1,5.6,178.31,3.0,2.7332341516709,186.7392946689409,9156.800000000001
B0078,2023-03-30,Plant_A,Day,202.39413643170445,4.122837082196431,0.7590947011939717,48.77,2.3,122.96,1.0,1.884156117982996,303.23881988681694,9672.300000000001
B0079,2024-03-16,Plant_B,Night,224.43099670573005,5.274557187496276,2.0594441559079413,53.12,6.6,161.65,3.5,2.478019772181333,233.80452508731503,9013.1
B0080,,Plant_C,Day,185.36084625384095,3.798408283791833,1.053195969859086,54.8,2.3,125.36,0.4,1.6631576864550914,225.87036995208675,9730.92
B0081,,Plant_A,Night,193.26281903424297,4.144982192690096,1.407887347805875,57.34,3.6,153.36,2.4,2.330232826054341,179.31121466058096,9408.64
B0082,2023-05-01,Plant_C,Day,220.73744626115547,5.371546711361088,1.5303370976641328,60.68,5.7,165.23,3.1,2.6818000552647843,180.1284131320563,9137.67
B0083,,Plant_A,Day,204.17466086539392,4.832127401137544,1.3185328389056366,59.48,3.4,154.76,1.7,2.1650342067182904,212.48488247101332,9495.779999999999
B0084,2024-12-15,Plant_B,Day,194.83572319042383,3.980069038848153,1.2714081844111629,43.5,3.3,151.45,2.6,1.9916728887149568,260.616975878001,9418.58
B0085,2024-04-14,Plant_C,Day,210.92432048816,4.609632847908713,1.473472219131427,58.14,3.6,140.41,1.6,2.0612831210488194,182.52737547473603,9485.76
B0086,2024-08-16,Plant_C,Day,210.8454561823688,5.139133951497519,1.889784037077993,63.7,4.3,161.16,2.2,2.5558111041132805,230.14751989253185,9359.46
B0087,2024-01-13,Plant_A,Day,206.66626363405956,4.497304401914184,1.5990156063759384,55.09,3.1,136.09,2.6,2.3861109516458376,223.0511209619721,9438.060000000001
B0088,2024-05-01,Plant_B,Evening,202.8905978711891,4.713351469465934,1.3925372411681225,60.42,3.7,148.74,3.5,2.0230322218827723,172.63003950017327,9292.949999999999
B0089,2024-04-26,Plant_A,Night,194.7593706841464,2.9279935087658524,1.157853763972358,44.1,1.9,130.21,0.0,1.641532446174325,293.62129349127656,9810.0
B0090,,Plant_A,Evening,199.1311719332887,4.733341566524555,1.612131813096553,50.75,4.5,146.59,1.7,2.436209382931146,216.7468849177712,9387.65
B0091,,Plant_C,Day,188.4338470496492,3.662073023772023,1.1501379822754862,50.33,3.9,126.87,2.0,2.133499317159578,228.70288725961757,9417.8
B0092,,Plant_C,Night,210.84946389509275,4.439433156005463,2.0460329495207463,55.23,4.6,180.1,2.9,2.428640690891446,178.7758070588872,9263.34
B0093,2024-05-28,Plant_A,Day,209.33853390608823,4.413124579475948,1.622780828742135,65.66,4.6,148.57,2.5,2.625416029397506,130.89727915276708,9301.5
B0094,2023-11-12,Plant_B,Day,192.38660819569608,4.29449576847453,1.1859359470536566,55.62,4.5,153.91,4.0,2.0000999778858364,232.02576617713288,9168.0
B0095,2024-12-16,Plant_C,Day,221.4426773465757,4.090377109962091,1.8301364571305916,64.47,5.5,158.2,2.8,2.5500867162396763,177.52904098875717,9185.4
B0096,,Plant_C,Night,174.99925443150607,3.3542703632308077,0.7823739816806373,49.83,2.4,121.5,1.0,1.884565717879644,247.71589860293017,9662.4
B0097,2024-11-10,Plant_C,Evening,221.96779080418224,4.732492490050989,2.041353902598416,51.17,4.7,166.8,3.5,2.316061214853998,213.5833740277508,9196.449999999999
B0098,2024-11-14,Plant_A,Evening,176.56699908661355,3.647897612404652,0.6937410200831308,47.2,2.1,132.66,2.4,2.0114485875300323,275.6022880952376,9555.04
B0099,2024-05-17,Plant_C,Day,206.3626805166581,4.409707751706339,1.6538504602233035,56.85,3.7,159.44,3.6,2.2300407173445,214.80489272427013,9283.32
B0100,2024-03-29,Plant_C,Evening,188.7000179459753,3.7925360238002495,0.939488666279797,49.33,1.6,141.48,0.8,1.680157559653067,246.43425565622908,9761.28
B0101,2023-04-22,Plant_A,Night,218.77347189083756,5.411746006321465,1.7703060988887704,63.77,6.8,170.53,3.1,2.0627634018530463,187.11092423510047,9031.08
B0102,2023-05-31,Plant_C,Night,214.7720450694465,5.041696257404418,1.6809338441549286,63.63,5.6,168.8,3.5,2.186070475917592,160.99865160429695,9109.6
B0103,,Plant_B,Day,187.71817845881105,3.749571298927365,0.8492736972514549,57.63,0.9,144.4,1.7,1.9470072194149248,186.78926595650157,9741.529999999999
B0104,2023-04-02,Plant_A,Evening,187.8109929569695,4.317669912015323,0.9618347407507284,51.68,1.7,144.09,1.9,1.8495473790708803,229.3103383484829,9643.23
B0105,2024-08-04,Plant_B,Day,200.7824675672452,5.1485160852299,1.4828911164730632,53.42,3.6,146.81,2.6,2.185787594061697,210.22739018442996,9389.36
B0106,,Plant_C,Evening,197.45895926499705,4.53436057225912,1.2139775225626428,57.35,3.6,160.17,2.0,1.8605148117824872,177.92788020136464,9447.2
B0107,2024-05-27,Plant_B,Evening,196.81552907352716,4.280441560677438,1.2374275741340774,50.66,2.9,135.81,1.9,1.981594780065297,242.16775490593736,9525.509999999998
B0108,2024-09-02,Plant_C,Night,171.78574906477078,3.636692419680135,0.8496420048566887,45.98,1.8,141.54,0.2,2.130486058567029,250.86873577318568,9800.36
B0109,,Plant_B,Evening,218.76923050863132,4.900980872184785,1.920217214474672,61.87,6.4,176.38,2.5,2.3726897430871747,187.49264481505853,9126.0
B0110,2024-12-12,Plant_B,Evening,212.6936136159038,4.617845309231184,1.820090786935037,52.54,3.6,147.5,3.4,2.11068723316882,239.0122957256995,9312.24
B0111,2024-07-03,Plant_A,Evening,212.128145602976,4.758294296382034,1.5757506259441518,56.06,3.7,151.3,1.8,2.1376543519446924,237.9270675901477,9456.66
B0112,2023-06-15,Plant_B,Evening,180.57269060461545,3.468827121807112,0.6782211262704682,43.66,1.1,112.75,2.0,2.114427907677515,295.99043812523547,9692.2
B0113,2024-06-19,Plant_B,Evening,181.94903929901423,4.265528843100049,0.9644838894864144,47.78,0.0,128.09,0.9,1.7835864652974522,256.3149563816299,9910.0
B0114,2024-10-12,Plant_A,Evening,186.1722332053725,4.07390742414634,1.0719840681389892,48.97,2.2,122.71,0.8,1.7258612202087846,238.6766245971275,9701.76
B0115,2024-01-14,Plant_C,Day,189.08508578473587,4.308535267741007,1.2401967787461352,57.38,4.9,158.34,2.4,2.112600866928164,216.46993076736155,9281.759999999998
B0116,2023-03-31,Plant_A,Night,217.87925868141843,5.04781266705296,2.084781154992663,58.57,6.9,183.88,3.0,2.468932649232485,154.25483454482134,9030.699999999999
B0117,,Plant_C,Night,228.20312805457507,4.308535267741007,1.9466946088839432,58.54,5.0,176.84,3.0,2.638966164554524,186.40397070761904,9215.0
B0118,2024-10-30,Plant_B,Night,219.5895130598931,4.921128832962817,1.4314841250514745,51.37,4.5,163.25,1.8,2.226903278807466,269.63546119939275,9378.1
B0119,2024-02-12,Plant_C,Night,209.6895669440404,5.164427050642114,1.3280467391532649,53.43,3.8,156.65,3.2,2.2767825984095813,180.3682648887028,9312.16
B0120,2024-07-25,Plant_A,Evening,199.15738797928617,4.231920147754779,1.0959706977287806,51.76,2.0,122.23,1.5,1.8202283600808429,280.8243274861063,9653.0
B0121,2025-01-25,Plant_A,Day,209.18638213045057,4.505623122738333,2.0001412906063827,52.66,5.0,153.32,3.5,2.2011787999678365,215.18423867900756,9167.5
B0122,,Plant_B,Night,212.7715273741843,4.557487374744797,1.2113361838780858,57.08,4.8,162.99,3.2,2.547450496617449,201.3082917417345,9215.36
B0123,2024-04-06,Plant_C,Day,218.1314362550331,4.829671769748767,1.800132527833918,61.66,7.3,164.36,2.9,2.440244671556624,133.16760731494944,9001.17
B0124,,Plant_B,Day,209.25915520972436,3.942425218255395,1.514153220843412,54.46,2.6,163.7,3.0,2.2417887698851904,236.3872834695308,9447.800000000001
B0125,2024-05-02,Plant_C,Night,192.40971496278092,4.269353860091883,1.2210570474049065,51.21,1.9,140.84,1.7,2.2139715520354777,234.3445966791191,9643.23
B0126,2023-08-08,Plant_A,Day,194.4729884790319,4.764215115207586,1.264455766276881,46.6,2.8,130.63,0.9,1.9118279887601728,255.17291368994643,9632.52
B0127,2025-01-30,Plant_B,Night,177.13831014414424,4.049126501444267,0.9622363496713704,48.4,2.7,138.5,1.9,1.860626099663714,285.0360962954557,9545.13
B0128,2025-01-08,Plant_C,Night,193.3587628042567,4.275538750261175,0.9095303562689036,54.01,2.8,134.04,1.8,2.08556888250595,197.10530554920228,9545.04
B0129,2024-08-28,Plant_A,Day,199.8173452218545,4.165667597423305,0.9671098555454872,45.82,2.5,115.01,1.5,2.281537699790639,243.1369648160172,9603.75
B0130,2023-09-15,Plant_B,Night,185.0843438273308,3.5362922376091106,1.274107712788593,43.09,1.4,113.99,1.5,1.992889535909273,297.155479242812,9712.099999999999
B0131,2023-03-04,Plant_B,Day,184.529222276081,3.823550699070564,0.7914537103409545,45.03,1.5,139.89,1.6,1.772476603420735,275.3918117055717,9692.400000000001
B0132,2023-09-10,Plant_C,Day,184.10549171812784,4.164269431450385,0.8152509717853991,45.12,2.4,127.27,1.4,1.989083906665975,275.8053968268813,9623.359999999999
B0133,2024-03-17,Plant_A,Day,185.7776601791596,3.667947062888462,0.8346184381321461,47.0,3.0,124.41,1.2,2.051087032856679,246.75844039879448,9583.6
B0134,2024-09-14,Plant_A,Night,169.39825850664684,3.950936284046854,0.8594209812465423,42.08,0.0,129.46,0.9,1.6024323003359646,311.03924773278897,9910.0
B0135,,Plant_B,Night,176.79698044278828,4.1628630539419005,0.8899417441719698,50.06,1.1,113.64,2.2,1.5612899127858664,286.02900420210506,9672.42
B0136,,Plant_C,Evening,177.1980278848518,4.345769204059502,1.3051907703725454,48.94,2.2,121.94,1.6,2.189364895838352,250.2402662614332,9623.52
B0137,2023-03-04,Plant_A,Evening,192.9409319640509,4.38224668576721,1.1533867661761197,50.57,2.3,137.43,0.6,1.9127969277292376,232.93543884799035,9711.380000000001
B0138,2024-03-12,Plant_A,Day,219.3344196603728,4.343561457801486,1.9319931575166565,67.24,5.7,181.64,3.1,2.4052488875263327,158.89106561299067,9137.67
B0139,2023-12-14,Plant_B,Day,204.89410464359415,4.395747937766672,1.6275622132143797,58.65,2.7,160.96,1.7,2.2477190805509606,218.42962888358332,9564.59
B0140,2024-04-20,Plant_B,Day,210.94601770142643,4.424646526109745,1.1921432178173017,62.73,4.8,160.62,2.7,2.3997731226051684,171.7742604579872,9262.96
B0141,2024-10-01,Plant_B,Day,200.9808467406125,4.907278725717306,1.455930382749054,51.86,3.6,132.15,1.5,1.9573335467175363,247.79454875865008,9495.400000000001
B0142,,Plant_A,Night,197.5627539580733,4.733380296104887,1.025552534929056,45.94,1.7,140.62,1.2,1.845735715978171,266.83079494566067,9712.039999999999
B0143,2023-12-25,Plant_C,Day,218.21378340963489,4.90642265007939,2.241315988917822,60.82,4.4,174.84,3.3,2.2781172537319554,120.53032787179627,9244.52
B0144,,Plant_A,Day,213.1048884283353,4.847207569236777,2.160350692388449,67.95,5.1,187.46,3.2,2.504743691167785,137.9643456369674,9186.32
B0145,2024-05-22,Plant_A,Evening,200.32000061103005,4.511926818723062,1.20083838274822,57.6,3.3,160.04,2.3,1.880513053163408,229.18028984441105,9447.59
B0146,2025-02-12,Plant_B,Night,191.7232252684529,4.731739819690266,1.0531954739956164,53.4,2.7,124.79,2.0,1.72727684590384,240.76936805063255,9535.4
B0147,2024-09-01,Plant_A,Day,199.7950943734772,4.98923086210351,1.7540303362009146,50.88,3.6,171.29,2.1,2.3730132205301997,217.5712779273178,9437.560000000001
B0148,2024-07-26,Plant_C,Evening,221.16498908292263,4.394003377880249,1.690018740598843,62.3,6.6,177.15,3.4,2.5784440167096294,130.93006283198295,9022.44
B0148,2024-07-26,Plant_C,Evening,221.16498908292263,4.394003377880249,1.690018740598843,62.3,6.6,177.15,3.4,2.5784440167096294,130.93006283198295,9022.44
B0149,2023-08-20,Plant_B,Day,199.1311719332887,3.39157484146152,0.7083002012119541,49.04,0.6,114.32,2.0,1.6376665686580187,255.7347598315412,9741.2
B0150,,Plant_A,Evening,216.82816133809584,4.39867348894929,1.7964394384268711,60.73,4.7,162.24,4.0,2.5973885996453863,194.58244751615015,9148.8
B0151,2023-05-04,Plant_C,Night,197.38561035837296,4.517532529740542,1.2358629844809403,43.8,1.1,129.97,1.9,1.9666198061531175,297.7817145407394,9702.09
B0152,2024-04-13,Plant_A,Evening,188.87618141379104,4.495104975265539,1.0946158077875,35.58,2.3,129.22,1.1,1.9707624826723067,344.9474598015876,9662.53
B0153,,Plant_A,Evening,193.95257274307764,3.4442254246150745,0.9874468502091088,44.9,1.9,164.61,2.1,1.825109657730632,304.267311692116,9603.99
B0154,2023-08-19,Plant_C,Evening,213.18070205338103,4.332043483975535,1.4250350926416016,65.3,3.0,165.36,2.2,1.9988511142187508,164.32325036862628,9486.6
B0155,2023-06-09,Plant_B,Day,194.20355570571917,4.792340814517468,1.2285596409699795,56.37,4.1,149.41,2.8,2.070079658705218,186.5128797276244,9321.480000000001
B0156,2023-06-23,Plant_B,Night,177.0815746091757,3.0305618592579933,0.8264329119659325,41.54,3.3,113.29,1.8,1.8644357730824408,291.8478488830869,9495.94
B0157,2025-01-04,Plant_A,Day,199.1311719332887,3.7775135474044905,1.012045345941211,41.62,3.2,141.69,0.0,1.8216025327277232,283.77139440461747,9680.0
B0158,2024-04-30,Plant_A,Day,181.76822697141063,4.029504386944296,1.2357047596580315,50.97,3.0,135.67,2.2,2.084512944612088,263.9531100203403,9486.6
B0159,2024-05-05,Plant_A,Night,194.2189074187584,5.038907083828172,1.282392679943836,50.3,2.0,160.63,1.6,2.211768711877009,258.423604559464,9643.2
B0160,2023-03-08,Plant_B,Day,204.35602026769223,5.203167267376928,1.9512314104193649,57.12,5.5,190.8,3.2,2.38088646692698,189.0259124034361,9147.6
B0161,2024-03-10,Plant_A,Day,184.3731185092752,3.914805455989119,0.6658904489557451,46.7,2.7,131.63,1.1,1.7857845740355132,268.3481509279725,9622.970000000001
B0162,2023-03-21,Plant_A,Evening,193.1303834462404,4.543341455212866,1.3185328389056366,46.65,3.1,139.0,1.2,2.0341777874827485,296.8769221884236,9573.720000000001
B0163,2023-05-12,Plant_B,Day,204.007120418204,4.9273128648826185,1.4980695097684684,57.58,3.9,142.2,1.5,2.1904928930962964,179.83917485570709,9465.849999999999
B0164,2023-11-06,Plant_B,Night,204.57352764439256,4.1493544338769,1.4973082812178489,54.92,2.9,146.01,1.3,1.4387270610266825,244.2902826579144,9583.77
B0165,,Plant_A,Night,197.78780545984412,4.055365613789875,1.0118907980630891,46.46,2.7,120.28,1.0,2.157725581670007,226.00550515602305,9632.699999999999
