building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
commercial,13587,68,13,25.69,weekday,3540.91
industrial,14882,48,40,27.71,weekday,4435.54
commercial,49038,43,25,14.5,weekday,5359.38
residential,41470,77,3,32.58,weekday,4290.61
commercial,20579,44,19,22.34,weekday,3787.26
residential,25780,59,33,32.21,weekday,3927.94
industrial,44909,4,4,22.06,weekday,4805.17
residential,2259,22,45,24.88,weekend,2608.53
residential,6654,21,24,15.0,weekday,2497.72
commercial,13303,22,32,25.42,weekday,3448.03
residential,26183,68,3,16.82,weekend,3465.03
commercial,16434,24,24,17.95,weekday,3501.94
industrial,4763,86,32,15.79,weekday,4209.18
residential,29625,55,2,10.62,weekend,3518.13
commercial,44361,30,39,22.49,weekend,5185.62
commercial,560,68,3,33.63,weekend,2599.86
residential,8745,28,30,17.72,weekend,2728.63
commercial,4590,6,35,15.55,weekday,2961.76
industrial,19842,15,11,11.29,weekday,3855.63
commercial,40166,70,35,13.05,weekend,5343.05
commercial,16905,88,26,17.36,weekend,4158.47
commercial,10647,46,41,13.13,weekday,3796.71
commercial,4970,21,17,29.93,weekend,2648.85
residential,2692,83,13,23.67,weekday,2656.26
industrial,981,3,12,28.85,weekday,2724.82
industrial,6683,39,41,15.77,weekday,4015.3
commercial,6776,84,29,17.2,weekday,3722.8
residential,32153,75,24,33.11,weekend,4172.08
commercial,19287,77,34,33.56,weekend,4246.55
residential,1399,32,15,26.19,weekday,2109.01
residential,18949,64,42,23.14,weekend,3811.73
residential,22254,10,17,24.49,weekday,2980.23
residential,33421,41,1,26.97,weekday,3516.18
residential,25262,66,1,29.74,weekday,3344.42
residential,40325,86,31,18.88,weekend,4901.86
commercial,36897,30,32,20.36,weekend,4683.04
industrial,46417,82,20,23.44,weekday,5973.63
industrial,22515,60,30,13.61,weekend,4757.71
commercial,17459,3,37,27.75,weekday,3554.19
residential,39714,82,41,16.32,weekday,5094.1
industrial,43501,83,31,26.67,weekday,6041.7
residential,7787,73,35,19.29,weekday,3272.91
commercial,16958,2,49,30.66,weekday,3744.59
industrial,40211,75,21,28.17,weekday,5589.71
industrial,6484,19,36,22.89,weekend,3619.74
residential,41496,73,2,14.29,weekend,4273.37
commercial,20672,46,10,18.4,weekday,3651.6
residential,9101,15,4,12.87,weekday,2170.7
commercial,17827,35,4,24.93,weekday,3246.71
commercial,12061,40,4,14.57,weekend,3010.22
commercial,11862,5,36,33.46,weekend,3195.8
commercial,24863,50,40,25.81,weekend,4414.12
commercial,9019,60,48,31.53,weekday,3903.29
commercial,6224,15,39,28.75,weekend,3097.45
commercial,44013,15,49,10.43,weekend,5278.51
residential,30515,93,3,32.87,weekday,3901.38
residential,49646,12,12,18.68,weekday,4298.92
residential,48903,70,22,23.91,weekday,5015.61
commercial,9517,82,46,13.2,weekend,4149.86
commercial,29878,16,41,31.63,weekend,4315.75
residential,18771,66,4,14.36,weekend,3106.77
residential,34072,12,13,29.68,weekend,3435.18
industrial,9095,5,34,29.59,weekend,3536.81
industrial,26792,86,10,15.01,weekday,4874.53
commercial,45580,68,4,33.33,weekday,4922.36
residential,14525,58,24,27.49,weekend,3148.79
industrial,26529,54,47,32.58,weekend,5143.54
residential,19563,65,27,22.5,weekend,3555.64
industrial,13525,21,25,32.25,weekday,3775.01
residential,18086,21,8,17.75,weekend,2685.54
industrial,31407,2,39,23.03,weekday,4805.22
industrial,36454,72,40,10.71,weekend,5789.16
commercial,35207,16,44,32.34,weekday,4688.65
commercial,20395,42,27,15.63,weekday,3951.62
residential,48382,95,1,31.98,weekday,4779.18
commercial,12200,95,8,29.74,weekday,3621.32
industrial,41131,12,14,13.25,weekend,4890.31
industrial,21177,69,7,32.54,weekday,4276.15
residential,11182,13,45,12.11,weekend,3028.56
residential,3208,68,29,14.07,weekend,2850.05
residential,2853,81,37,23.68,weekend,3074.25
industrial,9496,85,21,28.01,weekend,4104.73
commercial,14653,47,4,13.55,weekend,3214.88
industrial,40829,52,4,32.3,weekend,4979.96
industrial,34508,98,24,10.55,weekday,5682.63
commercial,32396,23,43,28.56,weekday,4616.98
industrial,40185,73,23,34.62,weekday,5576.14
industrial,37765,92,35,25.8,weekend,5879.25
commercial,24321,78,17,34.79,weekday,4212.08
industrial,30366,21,28,28.96,weekend,4643.49
residential,7991,13,18,21.04,weekend,2284.33
residential,29041,10,10,21.71,weekday,3193.51
industrial,21170,89,8,27.28,weekday,4522.1
industrial,32098,4,13,27.18,weekend,4269.02
commercial,23911,93,48,31.37,weekday,4978.71
residential,17529,43,44,19.34,weekday,3639.76
industrial,8507,36,28,19.36,weekday,3798.54
commercial,36159,79,30,34.31,weekday,5076.4
commercial,9002,99,41,19.66,weekday,4211.82
residential,40415,8,48,12.44,weekday,4548.56
commercial,13761,3,28,31.36,weekday,3171.27
residential,14007,91,34,17.79,weekend,3701.39
commercial,1468,21,10,33.58,weekday,2365.5
industrial,13308,16,41,27.82,weekday,4056.28
industrial,46148,30,39,33.84,weekend,5718.21
industrial,30469,55,26,28.11,weekday,5002.91
industrial,9442,25,31,15.3,weekday,3815.61
commercial,28571,25,21,26.8,weekend,3964.54
commercial,26672,8,1,19.76,weekday,3384.78
commercial,25291,83,17,17.14,weekend,4348.86
industrial,22616,31,47,17.91,weekday,4841.23
industrial,33726,70,34,10.13,weekday,5565.67
residential,2896,51,27,11.96,weekday,2684.98
industrial,27876,52,26,10.39,weekend,4881.83
industrial,43374,64,15,11.73,weekday,5600.03
residential,32487,95,49,16.69,weekday,5020.9
commercial,44085,10,30,10.68,weekday,4900.84
commercial,13721,8,10,20.28,weekend,2864.63
industrial,36559,73,28,14.86,weekend,5543.64
industrial,21453,58,6,19.1,weekday,4227.17
residential,49810,65,33,24.63,weekday,5227.37
industrial,27245,90,44,33.51,weekend,5474.72
industrial,7283,88,44,19.54,weekday,4576.47
industrial,47827,44,23,30.84,weekend,5637.13
industrial,16922,57,19,20.07,weekend,4195.75
residential,29206,41,31,24.01,weekday,3920.23
commercial,6616,1,21,17.83,weekday,2721.67
residential,22010,83,21,21.77,weekend,3741.64
commercial,3593,88,41,22.27,weekend,3768.3
industrial,15874,89,14,28.98,weekend,4318.82
residential,10416,33,14,23.74,weekend,2512.1
commercial,9205,93,49,16.33,weekend,4288.58
industrial,29902,15,34,16.79,weekend,4741.16
commercial,7714,51,7,13.32,weekday,3019.12
industrial,24854,60,27,34.51,weekend,4710.15
industrial,29269,35,19,18.63,weekend,4600.3
industrial,45055,82,22,17.47,weekend,5925.39
residential,17843,15,1,33.38,weekday,2445.25
residential,15817,85,47,25.14,weekend,3955.17
residential,34768,63,47,33.23,weekday,4692.24
residential,8625,70,46,22.83,weekend,3437.1
residential,5609,81,2,33.21,weekday,2514.4
commercial,35942,87,11,30.09,weekend,4736.66
industrial,45047,13,45,16.46,weekday,5750.07
industrial,20316,42,24,16.95,weekend,4331.04
commercial,34497,34,35,18.11,weekend,4674.31
residential,15858,30,2,29.99,weekend,2482.94
residential,4262,4,38,31.41,weekday,2406.04
industrial,9146,42,44,30.72,weekend,4103.69
industrial,16077,58,19,16.61,weekday,4230.79
industrial,24660,32,5,23.67,weekend,4034.64
commercial,48338,2,18,20.62,weekend,4693.8
commercial,24577,86,24,24.53,weekend,4446.22
residential,11803,32,1,27.57,weekday,2342.32
commercial,16146,22,30,25.81,weekend,3498.27
industrial,11671,63,8,34.74,weekend,3699.87
residential,17775,90,1,21.06,weekday,3253.47
commercial,23411,98,23,20.5,weekday,4558.07
industrial,43380,31,33,34.69,weekend,5465.54
residential,27088,43,34,20.96,weekend,3859.59
commercial,34433,58,48,29.34,weekday,5164.94
commercial,12798,80,4,11.3,weekday,3513.41
residential,15843,36,37,22.53,weekend,3279.51
commercial,9946,35,40,16.32,weekend,3565.7
residential,22542,58,47,32.58,weekend,3984.2
residential,15096,16,11,10.88,weekend,2580.42
commercial,40911,97,46,28.14,weekend,5794.83
commercial,44981,81,20,27.82,weekday,5369.95
residential,33897,55,30,32.48,weekday,4232.44
commercial,35935,55,37,23.7,weekday,5018.25
industrial,1314,51,46,29.12,weekend,3850.11
residential,8283,34,30,19.68,weekend,2755.75
residential,2613,11,2,29.34,weekday,1683.95
commercial,10957,86,49,22.06,weekend,4277.54
industrial,35301,28,45,15.43,weekend,5367.9
residential,23765,12,3,33.13,weekday,2752.62
industrial,32085,38,31,16.0,weekday,5074.24
industrial,4238,22,20,25.08,weekday,3256.52
commercial,49090,70,17,20.78,weekend,5390.61
industrial,7237,62,34,19.48,weekday,4114.45
industrial,16376,7,7,27.65,weekend,3390.53
industrial,45920,54,34,34.66,weekend,5842.72
residential,34242,32,16,20.35,weekend,3750.37
residential,7065,4,14,30.62,weekend,2020.15
residential,47328,12,3,32.59,weekend,3883.46
residential,3880,45,3,24.75,weekday,2130.26
industrial,3868,75,24,33.81,weekday,3804.34
industrial,626,2,33,23.52,weekend,3093.71
residential,23551,93,37,26.83,weekday,4263.39
commercial,605,16,36,16.95,weekday,2875.48
industrial,12164,82,41,23.04,weekday,4683.0
industrial,35698,91,29,32.83,weekday,5660.75
residential,43694,45,46,20.91,weekend,4950.15
commercial,21109,15,33,13.98,weekday,3845.57
industrial,35867,76,12,10.29,weekend,5241.91
industrial,10861,14,36,18.67,weekend,3809.69
industrial,18271,23,28,23.38,weekday,4136.67
industrial,18174,68,14,21.53,weekend,4261.05
industrial,47557,98,30,24.87,weekday,6383.5
residential,26010,7,36,31.06,weekend,3435.21
industrial,5799,37,23,34.76,weekend,3446.15
commercial,26111,26,49,15.85,weekday,4516.31
residential,22276,71,22,11.22,weekday,3757.72
residential,49374,13,28,29.4,weekday,4561.71
industrial,37930,36,19,25.7,weekend,5008.0
commercial,8573,86,19,27.88,weekend,3529.25
industrial,1507,58,17,17.56,weekend,3407.54
industrial,23736,47,12,17.29,weekday,4360.36
commercial,11316,60,47,29.42,weekend,3958.7
industrial,24252,36,45,22.91,weekday,4908.05
commercial,7424,25,47,14.83,weekday,3537.04
industrial,19074,82,39,17.25,weekday,5017.45
industrial,11116,64,17,30.65,weekday,3932.56
industrial,41306,46,41,19.34,weekday,5798.61
industrial,2242,9,37,11.08,weekend,3386.72
commercial,34520,96,27,29.12,weekend,5080.4
residential,2943,13,29,17.8,weekday,2318.15
residential,45123,5,47,13.18,weekday,4730.23
industrial,34657,21,47,20.15,weekday,5332.1
residential,42255,78,47,27.14,weekday,5247.04
commercial,12701,64,45,13.45,weekday,4157.81
industrial,46507,41,30,22.6,weekday,5772.35
industrial,6650,87,33,19.31,weekend,4265.97
commercial,29421,16,21,34.73,weekday,3927.4
residential,47563,41,8,18.18,weekend,4357.27
commercial,33782,71,40,29.61,weekend,5051.07
residential,42474,62,45,18.51,weekday,5101.13
industrial,27416,25,37,15.11,weekend,4785.27
industrial,22091,44,30,11.25,weekend,4588.3
industrial,27920,28,1,20.84,weekday,4141.78
commercial,2969,92,32,25.47,weekday,3631.08
commercial,43506,12,34,11.1,weekday,4969.79
industrial,23361,26,26,29.05,weekend,4302.81
commercial,28452,10,43,26.04,weekend,4252.4
industrial,47914,47,12,33.71,weekend,5437.17
residential,1226,58,3,22.79,weekday,2137.35
industrial,9166,15,3,11.8,weekend,3109.29
commercial,9283,41,40,12.19,weekday,3663.21
industrial,7140,65,11,13.97,weekday,3707.17
commercial,36721,66,46,15.58,weekend,5338.17
commercial,22092,4,1,12.19,weekend,3103.65
commercial,22026,70,12,21.58,weekend,3933.39
commercial,17161,46,27,17.59,weekday,3820.1
industrial,16741,19,27,23.89,weekend,3947.61
commercial,24150,46,21,28.41,weekend,3945.47
industrial,35388,13,49,15.09,weekday,5353.94
commercial,6599,27,28,12.39,weekend,3097.98
commercial,36322,8,25,27.52,weekend,4258.49
industrial,7319,21,37,31.57,weekday,3708.08
industrial,38501,84,3,32.04,weekday,5214.85
residential,41589,50,34,33.2,weekday,4643.44
commercial,45850,49,44,24.36,weekday,5590.7
residential,23390,50,23,23.8,weekend,3510.52
commercial,18273,37,38,33.06,weekday,3928.35
residential,26885,94,23,16.63,weekend,4161.08
industrial,33839,64,11,27.67,weekday,4963.62
industrial,42373,18,38,27.13,weekend,5422.98
industrial,47682,20,37,26.45,weekend,5691.84
industrial,48820,51,35,30.75,weekday,6047.23
industrial,32732,60,19,31.74,weekday,5007.9
residential,49969,32,14,26.06,weekend,4468.13
residential,37009,79,18,20.41,weekday,4448.42
residential,33056,3,11,32.92,weekend,3238.18
commercial,3483,79,5,10.37,weekend,3012.32
commercial,13357,83,31,10.63,weekday,4114.7
commercial,25326,33,41,21.22,weekend,4310.2
commercial,47178,27,16,24.14,weekend,4828.19
commercial,31695,99,35,28.5,weekend,5132.23
industrial,32321,58,45,32.79,weekend,5432.11
commercial,4994,79,38,29.59,weekday,3701.73
industrial,32390,37,7,25.09,weekend,4504.03
industrial,31178,68,8,32.25,weekday,4787.64
residential,39563,16,38,28.7,weekday,4304.63
commercial,11041,68,41,20.88,weekend,3947.63
residential,22859,24,22,32.87,weekday,3208.61
residential,41309,55,45,15.4,weekday,4988.44
residential,18655,13,11,23.22,weekday,2716.66
residential,9212,77,37,25.66,weekday,3392.31
residential,21195,18,21,16.16,weekend,3078.96
industrial,35332,23,29,25.76,weekday,4997.78
residential,38641,9,3,19.52,weekend,3484.46
commercial,25074,41,18,26.37,weekend,3891.86
commercial,9077,26,12,18.34,weekend,2862.17
residential,12222,80,35,20.16,weekend,3510.28
industrial,15849,37,15,18.92,weekend,3867.85
residential,19629,21,39,12.37,weekday,3459.59
industrial,48424,49,28,11.94,weekday,5961.49
industrial,12682,62,32,34.54,weekday,4271.39
residential,26431,91,14,25.79,weekday,3932.59
industrial,6126,49,13,18.44,weekday,3514.09
commercial,27411,41,13,13.43,weekday,4023.41
commercial,20475,79,28,13.9,weekday,4354.25
industrial,37708,91,23,29.54,weekend,5607.7
residential,46786,17,49,29.5,weekday,4891.8
industrial,29787,77,38,30.67,weekday,5416.01
residential,42286,50,35,11.13,weekday,4808.64
commercial,38404,21,30,24.39,weekend,4608.27
residential,36272,93,6,32.04,weekday,4253.4
commercial,36296,35,40,32.11,weekday,4854.25
commercial,27458,99,6,23.09,weekend,4367.45
residential,13484,42,23,25.92,weekend,2924.6
industrial,14129,50,29,18.54,weekend,4193.77
commercial,11206,72,24,14.25,weekend,3689.04
commercial,47266,14,39,14.13,weekend,5212.64
commercial,18278,7,44,32.44,weekend,3701.68
commercial,45641,41,21,15.87,weekday,5082.68
industrial,5471,24,34,28.34,weekday,3601.86
industrial,24942,35,38,20.76,weekend,4753.3
residential,8064,90,12,20.83,weekday,2989.05
residential,37480,45,20,20.29,weekday,4172.54
commercial,18797,94,25,20.37,weekend,4278.0
commercial,24589,48,7,33.17,weekend,3683.59
commercial,15782,39,18,16.16,weekday,3508.32
residential,46243,58,3,12.25,weekend,4390.91
residential,27806,28,21,25.4,weekday,3513.31
residential,22973,75,45,17.0,weekend,4213.66
industrial,7811,57,39,21.27,weekday,4184.21
commercial,9630,25,11,27.42,weekday,2864.42
residential,45465,3,25,10.42,weekend,4251.16
residential,21107,70,3,24.76,weekday,3241.57
commercial,36987,22,26,15.34,weekday,4562.64
industrial,22919,55,15,29.27,weekend,4349.61
residential,35384,21,30,18.62,weekday,4036.12
residential,32389,91,31,21.16,weekend,4543.67
residential,43582,92,4,18.9,weekend,4584.62
industrial,2122,68,36,31.82,weekday,3897.02
industrial,14169,52,5,18.39,weekend,3736.5
residential,22374,14,37,22.23,weekday,3437.53
residential,2490,91,8,25.03,weekday,2619.36
industrial,47554,72,8,25.75,weekend,5628.95
commercial,24374,89,31,33.73,weekend,4560.05
commercial,11331,47,43,21.1,weekend,3791.04
industrial,2060,69,41,12.68,weekday,4099.62
commercial,47537,34,17,16.6,weekday,5023.85
residential,29577,82,28,13.04,weekday,4343.66
commercial,39999,24,16,17.95,weekday,4520.19
commercial,22066,98,40,25.77,weekday,4804.46
industrial,22451,93,30,20.4,weekday,5100.56
industrial,35136,87,42,30.03,weekday,5866.63
residential,39065,75,24,10.17,weekday,4682.41
commercial,46393,19,43,15.6,weekday,5341.65
commercial,42449,48,20,14.3,weekend,4930.94
industrial,19046,46,29,28.51,weekday,4399.73
commercial,34219,92,49,27.39,weekend,5473.98
residential,48780,1,16,10.14,weekend,4218.29
residential,1026,90,49,11.14,weekend,3375.62
commercial,21952,22,34,25.98,weekend,3867.72
commercial,25451,60,9,28.7,weekend,3909.07
commercial,44379,15,28,15.33,weekend,4852.28
industrial,40863,47,1,17.61,weekend,4945.09
residential,21889,44,18,18.87,weekday,3350.09
commercial,49648,49,12,30.18,weekend,5061.5
commercial,26643,49,12,25.27,weekday,3985.8
residential,8473,9,22,12.1,weekday,2443.16
industrial,32588,75,10,13.13,weekend,5013.75
industrial,27089,69,25,29.33,weekday,4947.78
residential,34036,35,43,16.24,weekend,4330.61
industrial,17834,66,19,23.56,weekday,4363.89
residential,35060,39,45,26.93,weekend,4408.36
residential,3842,45,12,34.26,weekday,2260.82
residential,25078,95,9,24.24,weekend,3762.71
commercial,2425,70,8,34.79,weekend,2807.29
commercial,3930,1,28,30.59,weekend,2613.53
residential,31086,52,32,13.34,weekday,4197.59
residential,31610,15,36,14.78,weekday,3926.61
residential,45141,36,46,31.53,weekend,4879.42
industrial,16085,95,45,23.87,weekend,5034.91
commercial,43034,23,12,14.2,weekend,4550.69
residential,49189,51,22,24.03,weekday,4839.29
commercial,13850,45,26,20.98,weekend,3557.61
industrial,13095,76,41,29.41,weekday,4637.71
commercial,22020,43,4,28.28,weekday,3519.59
residential,14237,45,28,28.96,weekday,3127.07
commercial,7583,16,9,30.84,weekend,2564.94
industrial,12503,59,3,12.89,weekend,3710.69
residential,27924,85,7,17.39,weekend,3799.24
commercial,13151,58,19,26.56,weekday,3534.74
commercial,2250,11,4,22.11,weekday,2241.96
industrial,3217,11,8,23.83,weekend,2811.68
commercial,27227,89,23,15.01,weekday,4686.28
residential,30356,25,30,27.82,weekend,3728.69
commercial,21695,53,29,11.12,weekday,4189.13
residential,4256,44,9,21.22,weekday,2276.7
residential,25057,21,29,24.97,weekend,3417.99
commercial,625,9,18,19.56,weekday,2433.47
residential,28356,32,2,15.25,weekend,3201.55
residential,14788,38,9,22.75,weekday,2735.63
commercial,45686,12,46,22.81,weekday,5260.26
commercial,42252,19,33,11.34,weekend,4905.91
industrial,42824,90,34,27.26,weekend,6084.9
industrial,32075,8,38,18.84,weekend,4849.54
commercial,47819,81,5,24.47,weekday,5228.59
industrial,14260,74,8,27.33,weekday,4026.33
industrial,36944,57,18,29.65,weekday,5178.97
commercial,15729,36,17,20.37,weekend,3384.58
residential,12754,89,48,30.51,weekday,3885.13
residential,39610,91,40,27.6,weekday,5102.49
commercial,39059,57,47,28.74,weekend,5319.27
commercial,21081,20,42,25.28,weekend,3967.63
commercial,17274,97,46,15.79,weekday,4724.76
commercial,11289,25,8,26.63,weekend,2841.31
residential,35557,99,27,31.43,weekend,4650.7
commercial,35900,49,19,31.45,weekend,4507.73
industrial,2856,12,19,27.05,weekday,3057.53
residential,48023,42,46,17.82,weekend,5152.04
commercial,4732,52,39,28.23,weekend,3395.45
residential,34095,29,21,29.94,weekend,3765.06
residential,10725,28,22,28.11,weekday,2665.72
commercial,25057,86,32,30.61,weekday,4649.81
residential,5290,61,11,33.75,weekday,2475.76
industrial,2480,30,9,24.72,weekday,3030.38
industrial,19596,23,35,19.8,weekend,4310.82
commercial,2921,50,5,10.33,weekday,2744.38
residential,29125,57,7,16.94,weekday,3631.54
commercial,20076,33,42,34.22,weekend,4002.72
industrial,2836,46,46,13.74,weekend,3953.1
residential,10484,81,48,13.6,weekday,3776.21
commercial,24570,17,11,11.75,weekday,3609.75
residential,4633,98,2,15.1,weekday,2726.13
industrial,47304,98,11,12.3,weekday,6053.68
commercial,36562,99,11,30.78,weekend,4884.18
industrial,19350,38,13,28.33,weekend,3965.87
residential,1739,61,26,30.51,weekday,2614.4
residential,32390,84,15,27.44,weekday,4172.29
industrial,45504,24,32,24.99,weekday,5580.25
residential,48790,58,38,28.79,weekday,5185.54
residential,37834,12,10,32.88,weekend,3547.29
residential,23650,82,29,20.36,weekday,4030.72
residential,46058,88,33,11.53,weekday,5335.23
commercial,9211,33,28,10.16,weekend,3299.75
industrial,21672,7,34,28.05,weekday,4243.36
industrial,39943,74,5,31.83,weekday,5228.01
commercial,1456,74,38,15.66,weekend,3494.52
commercial,20559,21,8,26.77,weekday,3314.12
residential,42960,78,33,19.33,weekday,5041.34
residential,42063,77,9,17.72,weekend,4464.55
residential,49488,99,41,17.6,weekday,5746.4
commercial,41657,76,38,32.07,weekday,5492.51
residential,2024,25,4,28.84,weekend,1787.0
industrial,10268,35,20,33.18,weekday,3647.48
industrial,11224,25,49,15.38,weekend,4214.3
commercial,40192,23,23,30.0,weekend,4549.59
industrial,25791,84,45,14.96,weekend,5454.74
residential,22292,25,43,24.55,weekend,3601.83
industrial,1114,14,40,12.59,weekend,3432.74
industrial,42707,4,44,16.78,weekend,5471.43
commercial,23540,80,10,15.5,weekday,4149.49
commercial,16938,36,13,15.51,weekday,3439.34
residential,17934,70,44,27.56,weekday,3888.89
industrial,37719,16,20,23.97,weekday,4876.08
industrial,4533,20,46,12.33,weekday,3835.0
commercial,34061,43,14,31.26,weekday,4306.74
residential,47555,34,29,24.16,weekday,4726.97
residential,34572,14,1,12.8,weekend,3324.61
residential,29552,42,38,25.04,weekday,4082.39
commercial,9874,5,19,20.65,weekday,2870.44
industrial,19597,89,6,23.69,weekend,4371.38
commercial,44665,36,2,13.93,weekend,4563.58
residential,18811,19,25,14.33,weekday,3108.88
residential,5795,17,42,33.72,weekend,2631.16
commercial,29035,5,34,19.77,weekday,4132.91
commercial,29365,18,24,12.93,weekend,4063.62
commercial,2606,30,2,29.63,weekday,2372.16
commercial,1322,81,2,15.38,weekend,2839.18
residential,20644,29,7,21.54,weekday,2904.51
commercial,38506,82,26,17.62,weekend,5177.22
residential,18524,78,4,33.5,weekday,3168.71
industrial,35122,56,41,34.55,weekday,5513.36
industrial,20549,68,4,24.59,weekend,4164.5
commercial,21439,24,42,15.79,weekend,4073.01
industrial,38073,87,22,34.18,weekend,5542.74
commercial,27205,44,14,11.38,weekend,4023.35
residential,33475,82,13,32.62,weekend,4090.65
residential,10347,94,8,17.91,weekend,3027.78
commercial,10896,71,17,16.99,weekend,3509.87
industrial,32909,47,29,33.37,weekend,5028.58
residential,36340,42,15,31.27,weekend,3880.66
residential,30129,29,33,23.73,weekend,3837.78
industrial,16869,10,13,20.89,weekend,3598.99
residential,20603,98,36,29.52,weekend,4082.56
industrial,34580,47,13,25.41,weekend,4831.96
commercial,30527,70,20,11.89,weekday,4616.89
commercial,22236,65,5,34.67,weekend,3688.46
industrial,9282,17,6,29.31,weekday,3157.54
industrial,4297,7,32,15.67,weekday,3396.51
residential,49345,22,18,11.87,weekday,4537.9
industrial,28645,32,43,12.86,weekday,5097.96
commercial,46148,5,20,29.6,weekday,4659.4
commercial,29757,3,6,11.91,weekend,3578.29
commercial,32765,26,9,10.52,weekday,4075.67
industrial,24558,80,8,24.3,weekend,4566.41
commercial,12842,60,39,25.63,weekend,3893.95
industrial,40464,89,17,34.04,weekday,5633.01
residential,43820,3,36,22.96,weekday,4376.22
industrial,1025,28,48,24.41,weekday,3719.19
commercial,33357,92,43,23.58,weekend,5329.97
commercial,24357,6,29,21.36,weekend,3751.05
industrial,46460,3,18,25.95,weekend,5083.26
commercial,39504,86,46,12.07,weekday,5744.86
residential,24010,87,36,19.67,weekday,4242.17
commercial,49287,60,42,18.31,weekday,5862.82
residential,41260,35,38,29.66,weekend,4524.71
commercial,40983,66,47,12.96,weekday,5634.35
residential,32847,34,35,19.28,weekend,4085.95
commercial,28029,38,15,18.72,weekend,3987.84
residential,46740,19,25,10.29,weekend,4475.56
industrial,39724,44,38,14.79,weekday,5662.27
industrial,33797,86,13,13.96,weekday,5290.06
